site,sector,country,tls_version,key_exchange,cdn,attribution
google.com,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
www.canada.ca,gov,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Akamai,No PQC
netflix.com,control,USA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
edmonton.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Google,No PQC
cloudflare.com,control,USA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC own effort
ontario.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon CloudFront,No PQC
alberta.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Cloudflare,No PQC
rbc.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
td.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
scotiabank.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
cibc.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
utoronto.ca,university,CANADA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
mcgill.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Azure Front Door,No PQC
nshealth.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
dal.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
smu.ca,university,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
www.linkedin.com,control,USA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
bankofcanada.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
quebec.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
aircanada.com,control,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
uwaterloo.ca,university,CANADA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
ubc.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
sickkids.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
uhn.ca,hospital,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
sunnybrook.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Sucuri,PQC via provider
camh.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
ottawahospital.on.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
albertahealthservices.ca,hospital,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
fraserhealth.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
muhc.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
cheo.on.ca,hospital,CANADA,TLSv1.2,"ECDH, secp384r1, 384 bits",Microsoft (Azure),No PQC
unityhealth.to,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
trilliumhealthpartners.ca,hospital,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
bmo.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
nbc.ca,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
desjardins.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
atb.com,bank,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
tangerine.ca,bank,CANADA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
wealthsimple.com,bank,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
ualberta.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
ucalgary.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
queensu.ca,university,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
yorku.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
mcmaster.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
uottawa.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
