provider,sites_observed,sites_with_pqc,pqc_pct_observed
Cloudflare,591,475,80.4
Amazon CloudFront,373,260,69.7
Akamai,258,11,4.3
Fastly,225,134,59.6
Amazon (AWS),176,35,19.9
Google,121,63,52.1
Microsoft (Azure),61,2,3.3
Azure Front Door,58,1,1.7
Imperva (Incapsula),34,31,91.2
Automattic,21,6,28.6
OVH,17,0,0.0
Hetzner,13,5,38.5
Alibaba Cloud,13,0,0.0
F5,8,0,0.0
Sucuri,7,5,71.4
Radware,4,0,0.0
Huawei Cloud,4,0,0.0
Zenlayer,3,0,0.0
Squarespace,3,3,100.0
Oracle Cloud,3,0,0.0
Link11,3,2,66.7
Tencent Cloud,2,0,0.0
Rackspace,2,0,0.0
One.com,2,0,0.0
Naver Cloud,2,1,50.0
Leaseweb,2,0,0.0
IDC Frontier,2,0,0.0
DOSarrest,2,0,0.0
CDNvideo,2,0,0.0
CDN77,2,0,0.0
Samsung SDS,1,0,0.0
OpenText,1,0,0.0
Nuday,1,0,0.0
Network Solutions,1,0,0.0
Internap,1,0,0.0
Free (hosting),1,0,0.0
Dropbox,1,0,0.0
