country,sites,avg_score,quantum_ready,modern,legacy
SLOVENIA,1,75.0,1,0,0
NEW ZEALAND,1,75.0,1,0,0
ISRAEL,1,75.0,1,0,0
IRELAND,1,75.0,1,0,0
HONGKONG,1,75.0,1,0,0
SINGAPORE,3,61.7,2,1,0
NORWAY,5,59.0,3,2,0
INTL,8,56.2,5,1,2
USA,424,53.9,228,123,73
BELGIUM,6,52.5,3,2,1
BRAZIL,86,52.4,42,33,11
UK,92,50.8,43,32,17
MEXICO,82,50.0,39,23,20
AUSTRALIA,92,49.9,41,35,16
SPAIN,84,49.3,36,33,15
CANADA,709,48.1,294,268,147
POLAND,94,47.8,35,46,13
SWEDEN,93,47.3,36,40,17
SWITZERLAND,96,46.9,32,56,8
FRANCE,94,46.5,32,49,13
NETHERLANDS,98,46.4,34,49,15
GERMANY,94,46.4,32,50,12
ITALY,94,43.6,30,40,24
JAPAN,79,42.5,26,23,30
TURKEY,87,39.9,20,44,23
KOREA,72,39.9,17,35,20
INDIA,67,39.0,13,39,15
RUSSIA,78,37.8,11,52,15
KAZAKHSTAN,1,35.0,0,1,0
INDONESIA,1,35.0,0,1,0
EU,1,35.0,0,1,0
CZECHIA,1,35.0,0,1,0
ARGENTINA,2,35.0,0,2,0
CHINA,64,32.3,7,27,30
TAIWAN,1,20.0,0,0,1
QATAR,1,20.0,0,0,1
