site,sector,country
canada.ca,web,CANADA
videotron.ca,web,CANADA
ebay.ca,web,CANADA
kijiji.ca,web,CANADA
blogspot.ca,web,CANADA
python.ca,web,CANADA
ca-servers.ca,web,CANADA
realtor.ca,web,CANADA
radio-canada.ca,web,CANADA
youradchoices.ca,web,CANADA
d-zone.ca,web,CANADA
umontreal.ca,web,CANADA
uwo.ca,web,CANADA
psiphon.ca,web,CANADA
centris.ca,web,CANADA
services.gc.ca,web,CANADA
turbulent.ca,web,CANADA
eventbrite.ca,web,CANADA
freightpass.ca,web,CANADA
sportsnet.ca,web,CANADA
tsn.ca,web,CANADA
whc.ca,web,CANADA
newswire.ca,web,CANADA
pinterest.ca,web,CANADA
uoguelph.ca,web,CANADA
dragonpass.ca,web,CANADA
global.gc.ca,web,CANADA
citynews.ca,web,CANADA
bnnbloomberg.ca,web,CANADA
mywhc.ca,web,CANADA
huffingtonpost.ca,web,CANADA
autotrader.ca,web,CANADA
yelp.ca,web,CANADA
playcasinoonline.ca,web,CANADA
tvanouvelles.ca,web,CANADA
wayfair.ca,web,CANADA
globalresearch.ca,web,CANADA
casinolead.ca,web,CANADA
cgocable.ca,web,CANADA
tripadvisor.ca,web,CANADA
sympatico.ca,web,CANADA
realmoney-casino.ca,web,CANADA
intuit.ca,web,CANADA
realmoneygaming.ca,web,CANADA
gov.on.ca,web,CANADA
macleans.ca,web,CANADA
cira.ca,web,CANADA
ancestry.ca,web,CANADA
yellowpages.ca,web,CANADA
cogeco.ca,web,CANADA
gapcanada.ca,web,CANADA
webnames.ca,web,CANADA
gamblerzone.ca,web,CANADA
rapidenet.ca,web,CANADA
jobbank.gc.ca,web,CANADA
thecanadianencyclopedia.ca,web,CANADA
ticketmaster.ca,web,CANADA
ovh.ca,web,CANADA
vianet.ca,web,CANADA
ourcommons.ca,web,CANADA
airbnb.ca,web,CANADA
namespro.ca,web,CANADA
weather.gc.ca,web,CANADA
clegc-gckey.gc.ca,web,CANADA
wowjobs.ca,web,CANADA
mr-bet.ca,web,CANADA
gouv.qc.ca,web,CANADA
adsninja.ca,web,CANADA
bwanet.ca,web,CANADA
cmaj.ca,web,CANADA
audible.ca,web,CANADA
cancer.ca,web,CANADA
ctv.ca,web,CANADA
canadapost-postescanada.ca,web,CANADA
canoe.ca,web,CANADA
ryerson.ca,web,CANADA
wlu.ca,web,CANADA
wemesh.ca,web,CANADA
uwindsor.ca,web,CANADA
royallepage.ca,web,CANADA
